base_rate,beta_logRR_perSD,corr_pop_dep,threshold,reps,mean_suppressed,RR_true,RR_cc,RR_bias,RR_relbias,RD_true,RD_cc,RD_bias,RD_relbias,grad_true,grad_cc,grad_bias,grad_relbias
5,0.0,0.0,10,1000,0.5707,1.0,0.9998334041370234,-0.0001665958629765,-0.0001665958629765,1.9984014443252816e-16,-0.0012522675181882,-0.0012522675181884,288653159763.73944,-6.809193790768514e-17,-0.0003536647423453,-0.0003536647423452,3040897194391.4624
5,0.0,0.0,16,1000,0.6919,1.0,0.9999965820630824,-3.417936917536668e-06,-3.4179369175373064e-06,-2.495781359357352e-16,-0.0004797304074533,-0.0004797304074531,936968935166.945,-1.6369310123606547e-16,-2.556450145300765e-05,-2.5564501452843948e-05,7939982525846.409
5,0.0,0.0,25,1000,0.79,1.0,0.9998570694795152,-0.0001429305204848,-0.0001429305204848,1.9539925233402757e-17,-0.0012928235275906,-0.0012928235275906,-886434496028.6002,-8.178607359621788e-17,-0.0002279922992527,-0.0002279922992526,9603277643868.725
5,0.0,-0.3,10,1000,0.5711,1.0,1.019298971652637,0.0192989716526369,0.0192989716526369,1.2345680033831742e-16,0.0969322971632407,0.0969322971632406,-1012091978866.4106,-1.0680531781691943e-16,0.0227465932154285,0.0227465932154286,-9292690350913.816
5,0.0,-0.3,16,1000,0.6918,1.0,1.0154505504219529,0.0154505504219528,0.0154505504219528,7.993605777301127e-17,0.0776455416206076,0.0776455416206075,1543487919006.128,-5.3673138772198787e-17,0.0184333557996169,0.018433355799617,-16010875664340.52
5,0.0,-0.3,25,1000,0.7899,1.0,1.0127195322221134,0.0127195322221134,0.0127195322221134,7.016609515630991e-17,0.0638284155082718,0.0638284155082717,-2958251444256.783,-9.811978085954175e-17,0.0151928630448774,0.0151928630448775,-7224347172616.436
5,0.0,-0.6,10,1000,0.5706,1.0,1.0633663986633817,0.0633663986633814,0.0633663986633814,2.957634137601417e-16,0.3180114474463389,0.3180114474463386,-7440874857323.075,-4.2623914742554135e-17,0.076388115274498,0.0763881152744981,-74648810745056.22
5,0.0,-0.6,16,1000,0.6924,1.0,1.050088195088022,0.0500881950880217,0.0500881950880217,2.611244553918368e-16,0.2515935539978092,0.2515935539978089,-3798277278990.2266,-6.832665322123628e-17,0.061417257930271,0.0614172579302711,23826104850342.4
5,0.0,-0.6,25,1000,0.7899,1.0,1.0407262320244846,0.0407262320244843,0.0407262320244843,4.511946372076636e-16,0.2047109946046069,0.2047109946046064,5959463505612.653,-1.0030180606869753e-17,0.0495799488710751,0.0495799488710751,8151568038117.876
5,0.2624,0.0,10,1000,0.5704,2.085093181785157,2.0631208749282046,-0.021972306856953,-0.0105743108549621,3.782234746054693,3.78263578111267,0.0004010350579772,3.238108392295724e-05,0.8961915166170428,0.8961665943836872,-2.492223335546817e-05,-9.271065528540372e-05
5,0.2624,0.0,16,1000,0.6892,2.088148854266141,2.068844946428513,-0.0193039078376276,-0.0093199498692552,3.793065245902485,3.7999752441086088,0.0069099982061238,0.0016793245971365,0.8988034011473673,0.900273439384089,0.0014700382367215,0.0015285578497173
5,0.2624,0.0,25,1000,0.7863,2.085853977382857,2.067785708342766,-0.0180682690400904,-0.008791924658944,3.7859616210072433,3.797651321880895,0.0116897008736519,0.0028517906021203,0.8974120587350328,0.9003108211973401,0.0028987624623072,0.0030559013331859
5,0.2624,-0.3,10,1000,0.5738,2.090811556817964,2.1065266209757394,0.0157150641577759,0.0074594151102478,3.704837979727766,3.7968321634084887,0.0919941836807225,0.0247126143705194,0.8804249585030413,0.9026064431589292,0.0221814846558879,0.025111115434721
5,0.2624,-0.3,16,1000,0.6988,2.092573067044648,2.1080331465147792,0.0154600794701316,0.0073109896433528,3.706918058871477,3.7925211149874354,0.0856030561159577,0.0229077181980443,0.8809855733546845,0.9016188685574784,0.0206332952027938,0.0232886644009715
5,0.2624,-0.3,25,1000,0.7988,2.092572061809047,2.103049000341932,0.0104769385328853,0.004857004979045,3.707475274129969,3.7719234972000346,0.0644482230700659,0.0170748586047749,0.8813682268781594,0.8969595676663947,0.0155913407882353,0.0174701537129066
5,0.2624,-0.6,10,1000,0.5775,2.125960307303614,2.2039617583335085,0.0780014510298937,0.036606878449326,3.687996944296276,3.960443696835574,0.2724467525392972,0.0736991325009888,0.8768718231124298,0.9440703897410948,0.067198566628665,0.076497840300183
5,0.2624,-0.6,16,1000,0.7097,2.125337792258236,2.185132743747236,0.0597949514889994,0.0280584092075471,3.6879172659397264,3.89217857424952,0.2042613083097933,0.0552336750150718,0.876906764765653,0.928002663631561,0.0510958988659082,0.0581687432448902
5,0.2624,-0.6,25,1000,0.8129,2.125361153353164,2.1683548004071325,0.0429936470539689,0.0201007612514005,3.6855649490961455,3.8207205671579705,0.135155618061825,0.036394106938032,0.8762584633091354,0.911879466810574,0.0356210035014385,0.0404421504414534
5,0.5306,0.0,10,1000,0.567,4.456680311076452,4.334570306289924,-0.1221100047865281,-0.0275340726378188,8.443029084863344,8.446479832176768,0.0034507473134238,0.0003282111192736,1.9762751217729344,1.976942230800365,0.0006671090274307,0.0002700224668103
5,0.5306,0.0,16,1000,0.6821,4.437153636157586,4.316346489349732,-0.1208071468078533,-0.0274971079560735,8.4141375823472,8.444137926665391,0.0300003443181913,0.0034211596837295,1.9698727309896,1.97649732911699,0.0066245981273899,0.0032550225636823
5,0.5306,0.0,25,1000,0.7772,4.453618500459425,4.336874525916823,-0.1167439745426018,-0.0266108569714823,8.43744263984001,8.497785938030043,0.060343298190034,0.0068958199926407,1.9745005950880268,1.987469034039156,0.0129684389511293,0.0063711829994456
5,0.5306,-0.3,10,1000,0.5739,4.439809733737211,4.423164223077349,-0.0166455106598621,-0.0039352356067122,7.9898705616834365,8.098670637448778,0.1088000757653417,0.0135022529727541,1.883424922255322,1.909077669130326,0.0256527468750037,0.0135360987045122
5,0.5306,-0.3,16,1000,0.6995,4.430181285592619,4.4172413443812655,-0.0129399412113527,-0.0032383774071091,7.966147312469436,8.079774789259295,0.1136274767898573,0.014060362329481,1.8787573007169196,1.904831514637307,0.0260742139203879,0.0137330846732248
5,0.5306,-0.3,25,1000,0.8004,4.436211140826534,4.425186154583061,-0.0110249862434735,-0.0030009017705682,7.9782534479622065,8.096979709209487,0.1187262612472796,0.0145417533852347,1.8803727895852709,1.907604725369924,0.027231935784653,0.0142305595449281
5,0.5306,-0.6,10,1000,0.5839,4.550432928353361,4.656255702530294,0.1058227741769332,0.0230772809564629,7.703475814536628,7.979037078816376,0.2755612642797477,0.0356374526347475,1.8239572073082757,1.8909469753388417,0.0669897680305662,0.0366331994517667
5,0.5306,-0.6,16,1000,0.7243,4.536059563770868,4.6175156826854105,0.0814561189145422,0.0176370568607435,7.705962185917089,7.89689779857763,0.1909356126605403,0.0245562924794778,1.8244206267742296,1.8740796404411333,0.0496590136669038,0.0270534091685531
5,0.5306,-0.6,25,1000,0.8314,4.542420330676356,4.619646042751998,0.0772257120756424,0.0164636770620415,7.706089601275951,7.825014954305621,0.1189253530296687,0.0151230835898482,1.8241503607060376,1.85706525676392,0.0329148960578825,0.0178242345611477
15,0.0,0.0,10,1000,0.2956,1.0,0.9998475326113644,-0.0001524673886357,-0.0001524673886357,1.758593271006248e-16,-0.0026616440223785,-0.0026616440223787,-1332209364581.3298,1.4517714571185235e-16,-0.0001725934237799,-0.0001725934237801,-1128707458545.683
15,0.0,0.0,16,1000,0.4132,1.0000000000000002,1.0001093304957005,0.0001093304957002,0.0001093304957002,1.3269385590319869e-15,0.0012500495106615,0.0012500495106602,360193690839.67633,2.7676843507279475e-16,0.0005710531788323,0.000571053178832,-1888363476852.384
15,0.0,0.0,25,1000,0.5319,1.0,0.9996087535305708,-0.000391246469429,-0.000391246469429,-1.7408297026122455e-16,-0.0063408854854129,-0.0063408854854127,406330155583.4207,1.002164517291756e-16,-0.0005863256179502,-0.0005863256179503,2406345958328.162
15,0.0,-0.3,10,1000,0.2957,1.0,1.0072002781272185,0.0072002781272183,0.0072002781272183,-2.042810365310288e-16,0.1079741467023947,0.1079741467023949,238898220967.0392,-8.193795435676371e-17,0.0257530456934583,0.0257530456934584,2270839721069.461
15,0.0,-0.3,16,1000,0.4127,1.0,1.0067247352873252,0.0067247352873252,0.0067247352873252,-1.0658141036401505e-17,0.100875744052192,0.1008757440521921,-259501701034.9488,1.3529562667558023e-16,0.024216986110385,0.0242169861103849,2805997008896.312
15,0.0,-0.3,25,1000,0.5316,1.0,1.0063142925020534,0.0063142925020533,0.0063142925020533,3.108624468950438e-16,0.0947201568543155,0.0947201568543152,-1357951338516.5625,9.954068665397791e-17,0.0229114082188498,0.0229114082188497,2023792248457.845
15,0.0,-0.6,10,1000,0.2957,1.0,1.0259269138431728,0.0259269138431728,0.0259269138431728,8.526512829121201e-17,0.389021790978034,0.3890217909780339,2311434522007.503,1.2516753280643955e-16,0.0920989421398661,0.092098942139866,8420684598611.18
15,0.0,-0.6,16,1000,0.4133,1.0,1.0247622537771073,0.0247622537771074,0.0247622537771074,9.325873406851317e-16,0.3715826644955131,0.3715826644955122,1415263186099.654,3.0119232160435e-16,0.0898440436868106,0.0898440436868103,1407012021592.1033
15,0.0,-0.6,25,1000,0.5325,1.0,1.0213250878695257,0.0213250878695255,0.0213250878695255,-3.410605131648481e-16,0.3201309101151272,0.3201309101151275,-1283520235525.5334,6.195316429186699e-17,0.0771002247474177,0.0771002247474176,5446825885049.94
15,0.2624,0.0,10,1000,0.2984,2.08740530903674,2.0784536205176267,-0.0089516885191131,-0.0042981434790514,11.373209521202575,11.351562814725725,-0.0216467064768533,-0.001924067534773,2.694889671989875,2.689977680285004,-0.0049119917048714,-0.0018369022908806
15,0.2624,0.0,16,1000,0.4135,2.087232258091263,2.0780396099991703,-0.0091926480920923,-0.004414403237344,11.377707627986892,11.3681591515639,-0.0095484764229907,-0.0008595098171188,2.695744235017957,2.6942629195647414,-0.0014813154532157,-0.000561377697799
15,0.2624,0.0,25,1000,0.5319,2.0832807510204,2.0739866645603997,-0.0092940864600006,-0.0044899542862128,11.338238926456496,11.334224871284368,-0.0040140551721287,-0.0004092312233191,2.687783190529202,2.6869883348710677,-0.0007948556581344,-0.0003271419186701
15,0.2624,-0.3,10,1000,0.2882,2.090802917168753,2.096120948722004,0.0053180315532513,0.0025369915635687,11.10623978072218,11.187605178066336,0.0813653973441552,0.0073164444439195,2.640223862922669,2.660280962423257,0.020057099500587,0.0075909571451778
15,0.2624,-0.3,16,1000,0.4094,2.0925518403112235,2.0973845286953683,0.0048326883841444,0.0022909016757194,11.114374644035935,11.193092259063173,0.0787176150272365,0.0070525986021928,2.6418038086065234,2.661093256263084,0.0192894476565596,0.007279987091239
15,0.2624,-0.3,25,1000,0.533,2.091517379331145,2.0960469328078704,0.0045295534767251,0.0021277367626326,11.103980505993423,11.17668407400733,0.0727035680139051,0.0064619942817827,2.640001611793634,2.658314326392434,0.0183127145988002,0.0068692693805766
15,0.2624,-0.6,10,1000,0.2775,2.1276721513492265,2.1553634043345054,0.0276912529852793,0.0129967095435709,11.07313909631464,11.352956602847389,0.27981750653275,0.0252279978388919,2.632447785289078,2.7007607119237043,0.068312926634626,0.0259157653239503
15,0.2624,-0.6,16,1000,0.4041,2.1248842592295385,2.148168045634709,0.0232837864051701,0.0109398962807649,11.058957204923932,11.294896514489349,0.2359393095654154,0.0212828486422889,2.6290880095573645,2.689274348044797,0.0601863384874326,0.0228545308276114
