ICE quintile,"Counties, n","Suppressed, n (%)",% population in suppressed counties,% rural population erased,% minority population erased
Q1 most deprived,549,55 (10.0),0.3,2.1,0.3
Q2,657,47 (7.2),0.2,1.2,0.1
Q3,645,46 (7.1),0.2,1.1,0.1
Q4,742,51 (6.9),0.2,0.9,0.1
Q5 least deprived,425,25 (5.9),0.1,1.9,0.1
