fips,dep_index,z_inc,z_pov,z_ed9,z_bach,z_crowd,svi_overall,svi_ses,dep_quintile_unw
01001,-0.4624171315513106,-0.2547376079536171,-0.49270142441021314,-0.8297940813214761,-0.42974257093157775,-0.30510997313966853,0.2663,0.2367,2
01003,-0.6208555327572507,-0.6087452951566767,-0.6939264311570357,-0.5755493164946677,-0.8771424889866615,-0.3489141319912115,0.3487,0.3433,1
01005,0.891937867963841,1.2323309084050886,1.2009423823755414,0.9181386768628328,1.3695831864638672,-0.2613058142881255,0.9927,0.9399,5
01007,0.7429337582406285,0.8667929422257615,1.3853986385601287,0.5049909340192689,1.2625962495376517,-0.30510997313966853,0.8451,0.8893,5
01009,0.2651493378475995,0.211591870057277,-0.22440141541445008,0.4732103384159177,0.8638267573581204,0.0015191388211324669,0.6166,0.6866,4
01011,1.9484172583069346,2.0609361273239757,3.1964236992815294,2.1258013097901736,1.6127353158416302,0.7461898392973635,0.8985,0.8654,5
01013,0.6322208848266803,1.3047185622707285,1.3686298879978933,0.1871849779857582,1.0875267163856623,-0.7869557205066415,0.6872,0.8441,5
01015,0.26832972446224124,0.7268547271381841,0.6140361126973095,-0.0034985956343484077,0.3969746689528158,-0.39271829084275456,0.8145,0.854,4
01017,0.6539458386824697,1.0290605268429887,0.24512360032813527,0.4732103384159177,0.9513615239341151,0.5709732038911917,0.8295,0.7171,5
01019,0.341410007203691,0.7924367041446613,0.09420484526801873,0.5049909340192689,0.7957441611323469,-0.4803266085458405,0.406,0.6077,4
01021,0.22648963076501788,0.13211731301598,-0.03994515922986296,0.15540438238240695,0.7957441611323469,0.08912745652421855,0.5336,0.5924,4
01023,0.4459117386990833,1.1327205471027977,0.37927360482601696,0.3778685516058645,0.8638267573581204,-0.5241307673973836,0.6548,0.6901,4
01025,0.48187859701781327,1.0519523490056268,0.9829486250664843,-0.13062097804775252,0.9416354387590047,-0.4365224496942976,0.8365,0.8412,4
01027,0.5455975301244702,0.7144245239491348,0.5637298610106044,0.3460879560025136,0.9708136942843363,0.1329316153757616,0.6223,0.7235,5
01029,0.2975286197820829,0.7090812239357426,-0.09025141091656867,-0.09884038244440156,0.7471137352567944,0.2205399330788475,0.5196,0.4938,4
01031,0.0651210044699275,-0.022557161055900197,0.4128111059504872,0.028281999969002835,0.2121790506257162,-0.30510997313966853,0.6802,0.6497,3
01033,0.11942457535011856,0.411937497927836,0.5301923598861334,-0.06705978684105046,0.2899877320266004,-0.5679349262489265,0.4467,0.4944,4
01035,0.8254818401611732,1.4975273248592396,2.2741424183585943,-0.48020752968461433,1.0972528015607728,-0.2613058142881255,0.5122,0.5272,5
01037,0.3039317069269949,0.5960282447050229,-0.19086391428997979,-0.06705978684105046,1.0486223756852202,0.1329316153757616,0.4808,0.3513,4
01039,0.40615164878015564,0.871573789606165,0.8320298700063672,0.123623786779056,0.7276615649065734,-0.5241307673973836,0.7121,0.7509,4
01041,0.4567371118814146,1.0907053354185452,0.6140361126973095,0.3460879560025136,0.5817702872799158,-0.3489141319912115,0.685,0.7588,4
01043,0.2092117996911224,0.2978721039577367,0.1780485980791947,-0.0034985956343484077,0.4845094355288106,0.08912745652421855,0.4909,0.5323,4
01045,0.28072423954539627,0.7305669145159093,0.7481861171951911,-0.09884038244440156,0.4164268393030371,-0.39271829084275456,0.7766,0.8648,4
01047,0.9020505945933003,1.818125325662773,2.8107424363501203,-0.5119881252879654,0.6984833093812418,-0.30510997313966853,0.9189,0.9555,5
01049,1.2622831965256105,0.9419928592563447,1.3686298879978933,2.094020714186822,1.0291702053349994,0.8776023158519928,0.756,0.7996,5
01051,-0.4149299270071715,-0.5788228150816803,-0.6603889300325652,-0.41664633847791227,-0.06987741945248852,-0.3489141319912115,0.4397,0.3185,2
01053,0.4984377373358047,1.109547498623665,0.9661798745042488,0.028281999969002835,1.0875267163856623,-0.6993474028035556,0.8473,0.9462,4
01055,0.3451811048456611,0.7530650198354554,0.4463486070749575,0.06006259557235379,0.6401267983305786,-0.17369749658503952,0.672,0.7961,4
01057,0.6199205721192169,1.038509731077198,1.2680173846244824,0.40964914720921575,0.9513615239341151,-0.5679349262489265,0.7458,0.8514,5
01059,0.7700345120191529,0.8219654673765657,0.8152611194441323,1.1723834416896413,0.8638267573581204,0.17673577422730444,0.7576,0.6675,5
01061,0.6132067051341372,0.8538565316670225,0.8320298700063672,0.5685521252259711,1.1167049719109938,-0.30510997313966853,0.5822,0.6729,5
